"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Luciano Acosta","CIN","2022","AM","1022","23","6","4","5.00","-2.42","-1.00","42","1","5.05","-4.05","10.05","1.91","2.22"
"","Valentín Castellanos","NYC","2022","ST","801","34","14","5","5.32","-0.01","-0.32","20","1","2.07","-1.07","7.39","0.91","1.72"
"","Hany Mukhtar","NSH","2022","AM","959","34","18","2","4.85","-1.65","-2.85","15","2","2.21","-0.21","7.06","1.13","3.73"
"","Daniel Gazdag","PHI","2022","AM","933","18","13","5","5.32","0.14","-0.32","10","2","1.62","0.38","6.94","1.48","1.71"
"","Patryk Klimala","NYRB","2022","ST","612","24","11","3","4.90","-0.84","-1.90","10","3","1.83","1.17","6.73","1.68","2.63"
"","Diego Rubio","COL","2022","ST","750","27","11","5","4.52","-1.50","0.48","13","1","1.45","-0.45","5.97","3.06","3.38"
"","Brandon Vázquez","CIN","2022","ST","872","25","12","6","4.55","-0.46","1.45","7","2","1.20","0.80","5.75","1.79","2.12"
"","Carles Gil","NER","2022","AM","926","17","8","3","3.08","-0.10","-0.08","36","4","2.63","1.37","5.71","2.72","2.40"
"","Sebastián Driussi","ATX","2022","AM","976","23","13","7","3.74","1.71","3.26","14","2","1.84","0.16","5.59","2.76","1.77"
"","Djordje Mihailovic","MTL","2022","AM","897","18","11","5","2.51","1.62","2.49","24","3","2.86","0.14","5.37","3.07","1.41"
"","Alejandro Pozuelo","TOR","2022","AM","1129","10","7","2","2.04","1.38","-0.04","23","3","3.19","-0.19","5.22","1.28","1.55"
"","Jesús Ferreira","FCD","2022","ST","872","25","10","7","3.73","0.37","3.27","12","1","1.38","-0.38","5.11","2.40","1.88"
"","Carlos Vela","LAFC","2022","W","858","24","10","4","3.13","0.32","0.87","25","2","1.90","0.10","5.03","0.89","1.59"
"","Pablo Ruiz","RSL","2022","CM","1056","17","2","1","2.34","-1.53","-1.34","22","2","2.58","-0.58","4.92","0.55","1.47"
"","Jesús Jiménez","TOR","2022","ST","1081","19","10","7","4.23","0.70","2.77","3","1","0.64","0.36","4.87","3.97","2.89"
"","Talles Magno","NYC","2022","W","808","21","8","1","3.14","0.65","-2.14","14","4","1.61","2.39","4.75","0.13","0.98"
"","Jeremy Ebobisse","SJE","2022","ST","912","28","12","5","3.87","2.22","1.13","8","0","0.88","-0.88","4.75","4.16","3.18"
"","Alexander Ring","ATX","2022","DM","913","18","4","1","2.63","-1.73","-1.63","13","2","2.09","-0.09","4.72","0.31","1.80"
"","Lewis Morgan","NYRB","2022","FB","940","25","12","4","2.54","1.31","1.46","19","1","2.02","-1.02","4.56","0.69","0.96"
"","Cristian Espinoza","SJE","2022","W","893","33","9","4","3.63","-0.75","0.37","9","2","0.75","1.25","4.37","1.94","1.82"
"","Lucas Zelarayán","CLB","2022","AM","753","22","7","4","1.50","-0.17","2.50","29","1","2.86","-1.86","4.36","1.49","0.73"
"","Yimmi Chará","POR","2022","ST","1083","20","8","3","2.65","0.70","0.35","20","1","1.53","-0.54","4.18","1.76","2.15"
"","Romell Quioto","MTL","2022","ST","624","18","8","3","3.13","-0.85","-0.13","4","1","1.00","-0.00","4.14","0.62","0.97"
"","Paul Arriola","FCD","2022","W","780","16","5","2","1.71","-0.75","0.29","18","2","2.41","-0.41","4.12","0.01","0.90"
"","Darwin Quintero","HOU","2022","AM","647","21","11","4","2.68","1.49","1.32","14","0","1.43","-1.43","4.10","2.26","1.68"
"","Chicharito","LAG","2022","ST","955","27","14","5","3.84","0.62","1.16","5","0","0.25","-0.25","4.08","1.69","2.54"
"","Leonardo Campana","MIA","2022","ST","650","21","10","5","2.89","1.58","2.11","6","1","1.16","-0.16","4.05","2.47","1.58"
"","Ola Kamara","DCU","2022","ST","494","15","8","4","3.86","-0.30","0.14","2","0","0.16","-0.16","4.02","0.90","1.79"
"","Rándall Leal","NSH","2022","AM","861","18","5","1","1.48","-0.41","-0.48","11","2","2.50","-0.50","3.98","1.44","1.59"
"","Dániel Sallói","SKC","2022","W","869","29","13","2","2.97","0.48","-0.97","8","0","0.97","-0.97","3.94","2.21","2.17"
"","Alexandre Pato","ORL","2022","ST","693","17","8","2","2.13","1.08","-0.13","11","2","1.73","0.27","3.87","1.42","1.35"
"","Derrick Etienne","CLB","2022","W","828","21","10","3","2.59","-0.10","0.41","10","3","1.22","1.78","3.81","0.73","2.20"
"","Omir Fernandez","NYRB","2022","AM","671","16","6","2","1.88","-0.24","0.12","9","1","1.84","-0.84","3.71","0.75","1.41"
"","Brenner","CIN","2022","ST","399","16","6","0","2.98","-1.09","-2.98","7","1","0.71","0.29","3.69","0.00","1.46"
"","Ercan Kara","ORL","2022","ST","672","13","5","2","2.94","-0.32","-0.94","5","2","0.70","1.30","3.64","0.44","1.40"
"","Julián Carranza","PHI","2022","ST","667","15","8","4","3.04","1.22","0.96","5","1","0.56","0.44","3.60","1.90","1.62"
"","Robin Lod","MIN","2022","W","851","17","7","3","1.67","0.83","1.33","18","1","1.92","-0.92","3.59","1.12","1.17"
"","Cristian Arango","LAFC","2022","ST","623","26","7","2","2.59","-0.80","-0.59","5","1","1.00","-0.00","3.59","1.75","2.15"
"","Dominique Badji","CIN","2022","ST","843","23","10","0","2.69","-0.82","-2.69","6","1","0.86","0.14","3.55","0.00","1.79"
"","Thiago Almada","ATL","2022","W","687","21","8","1","1.42","0.24","-0.42","19","1","2.13","-1.13","3.55","0.80","1.11"
"","Maximiliano Urruti","ATX","2022","ST","735","26","8","4","3.18","-0.35","0.82","3","0","0.35","-0.35","3.53","1.61","1.91"
"","C.J. Sapong","NSH","2022","ST","807","14","6","3","2.32","-0.81","0.68","8","1","1.21","-0.21","3.53","1.01","1.32"
"","Adam Buksa","NER","2022","ST","710","26","10","4","3.33","0.49","0.67","1","1","0.19","0.81","3.52","1.73","1.70"
"","Emanuel Reynoso","MIN","2022","AM","945","17","5","2","1.84","0.26","0.16","26","2","1.65","0.35","3.49","1.23","1.25"
"","Santiago Rodríguez","NYC","2022","W","768","13","5","2","1.85","-0.19","0.15","18","3","1.60","1.40","3.45","0.59","0.97"
"","Kwadwo Opoku","LAFC","2022","W","704","21","8","3","2.88","0.18","0.12","9","0","0.57","-0.57","3.45","1.30","1.30"
"","Fafa Picault","HOU","2022","W","871","13","7","2","2.26","0.25","-0.26","9","1","1.12","-0.12","3.38","0.09","0.99"
"","Gonzalo Higuaín","MIA","2022","ST","481","8","2","2","1.86","-0.16","0.14","14","1","1.45","-0.45","3.31","1.44","1.25"
"","Ronaldo Cisneros","ATL","2022","ST","407","14","8","4","3.16","0.27","0.84","2","0","0.13","-0.13","3.29","1.06","1.35"
"","Johnny Russell","SKC","2022","W","935","20","4","2","1.92","-0.34","0.08","15","0","1.37","-1.37","3.29","0.85","1.29"
"","Xherdan Shaqiri","CHI","2022","AM","696","12","4","2","1.88","-0.09","0.12","16","0","1.41","-1.41","3.29","0.81","0.88"
"","Marcelino Moreno","ATL","2022","AM","726","18","9","2","1.68","1.01","0.32","11","2","1.59","0.41","3.27","1.18","1.37"
"","Brooks Lennon","ATL","2022","FB","889","11","5","2","0.95","0.09","1.05","29","1","2.30","-1.30","3.25","1.82","0.63"
"","Luis Amarilla","MIN","2022","ST","698","19","5","2","2.45","-1.13","-0.45","6","0","0.69","-0.69","3.14","0.89","1.83"
"","Mark-Anthony Kaye","COL","2022","CM","903","11","4","3","1.83","0.51","1.17","9","0","1.25","-1.25","3.08","0.82","0.93"
"","Sergio Santos","PHI","2022","ST","409","9","2","0","1.29","-1.05","-1.29","7","2","1.73","0.27","3.01","0.00","0.71"
"","Santiago Moreno","POR","2022","W","747","13","4","0","1.11","-0.49","-1.11","14","2","1.89","0.11","3.01","0.00","0.86"
"","Kevin Cabral","LAG","2022","W","606","10","3","0","2.10","-0.87","-2.10","10","0","0.89","-0.89","2.99","0.00","1.12"
"","Michael Barrios","COL","2022","W","636","11","4","0","1.26","-0.42","-1.26","12","3","1.70","1.30","2.96","0.00","0.88"
"","Ryan Gauld","VAN","2022","AM","604","17","5","1","2.08","-0.65","-1.08","8","0","0.86","-0.86","2.94","0.99","1.55"
"","Diego Fagundez","ATX","2022","W","847","8","2","1","0.73","-0.09","0.27","18","6","2.20","3.80","2.93","1.16","0.66"
"","Maikel Chang","RSL","2022","W","719","12","5","0","1.26","-0.27","-1.26","12","2","1.66","0.34","2.93","0.00","1.15"
"","Dairon Asprilla","POR","2022","W","767","12","3","2","2.58","-0.56","-0.58","4","0","0.27","-0.27","2.85","1.28","1.42"
"","Thiago","NYC","2022","W","546","17","8","4","2.46","0.52","1.54","4","1","0.35","0.65","2.81","1.26","1.81"
"","Tom Barlow","NYRB","2022","ST","410","12","7","2","2.67","0.25","-0.67","2","0","0.11","-0.11","2.79","0.34","1.26"
"","Karol Swiderski","CLT","2022","ST","902","26","16","4","2.35","2.57","1.65","5","0","0.40","-0.40","2.75","1.89","1.61"
"","Cristhian Paredes","POR","2022","CM","874","13","5","1","2.10","-0.35","-1.10","7","0","0.59","-0.59","2.69","1.52","2.08"
"","Carlos Ferreira","HOU","2022","ST","825","16","6","4","2.09","0.12","1.91","6","0","0.58","-0.58","2.67","1.61","1.17"
"","Cristian Cásseres Jr","NYRB","2022","CM","620","16","4","1","1.79","-0.08","-0.79","7","0","0.88","-0.88","2.66","0.11","0.86"
"","Julian Gressel","DCU","2022","FB","811","9","4","0","0.81","0.35","-0.81","23","2","1.83","0.17","2.63","0.00","0.20"
"","Miguel Berry","CLB","2022","ST","708","17","4","2","2.23","-0.65","-0.23","7","0","0.39","-0.39","2.62","0.95","1.16"
"","Sergio Córdova","RSL","2022","ST","665","14","7","1","2.10","-0.06","-1.10","6","1","0.50","0.50","2.60","0.97","1.91"
