"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","LAFC","2022","10","171","94","23","9","14","17.66","9.65","8.01","5.99","23","19.13"
"","ATX","2022","10","131","120","21","9","12","15.92","13.74","2.19","9.81","20","15.39"
"","FCD","2022","10","114","108","16","7","9","13.06","11.52","1.53","7.47","19","14.94"
"","PHI","2022","10","109","134","14","8","6","15.11","8.73","6.38","-0.38","19","18.11"
"","LAG","2022","10","135","93","10","7","3","11.88","9.55","2.33","0.67","19","15.35"
"","NYRB","2022","10","153","75","15","8","7","19.08","9.86","9.22","-2.22","18","19.70"
"","MTL","2022","10","123","94","20","18","2","14.96","10.96","4.00","-2.00","17","15.64"
"","ORL","2022","11","102","139","13","15","-2","10.78","15.59","-4.81","2.81","17","11.90"
"","CIN","2022","11","146","160","13","16","-3","21.42","15.73","5.69","-8.69","16","18.19"
"","RSL","2022","11","112","152","10","15","-5","12.34","15.39","-3.04","-1.96","16","13.84"
"","NSH","2022","10","116","134","11","10","1","14.15","11.28","2.88","-1.88","15","15.23"
"","NYC","2022","9","152","95","19","9","10","18.13","10.35","7.77","2.23","14","16.86"
"","MIN","2022","10","121","145","11","8","3","11.82","15.62","-3.80","6.80","14","11.85"
"","ATL","2022","10","146","122","15","14","1","14.27","14.54","-0.27","1.27","14","14.14"
"","CLB","2022","10","148","81","15","10","5","14.02","10.14","3.88","1.12","13","16.23"
"","CLT","2022","11","124","146","10","13","-3","10.87","15.14","-4.27","1.27","13","11.64"
"","DCU","2022","9","104","118","12","13","-1","11.87","13.65","-1.78","0.78","12","11.36"
"","COL","2022","10","121","119","11","12","-1","13.29","11.70","1.59","-2.59","12","15.13"
"","HOU","2022","10","105","138","12","13","-1","11.00","12.15","-1.15","0.15","12","12.83"
"","POR","2022","11","133","158","11","15","-4","13.36","15.42","-2.06","-1.94","12","13.35"
"","NER","2022","10","134","119","16","17","-1","13.71","12.72","0.99","-1.99","11","14.77"
"","TOR","2022","11","95","157","15","22","-7","11.90","21.37","-9.47","2.47","11","9.92"
"","CHI","2022","10","106","118","7","11","-4","10.13","12.04","-1.91","-2.09","10","12.70"
"","MIA","2022","10","118","134","9","19","-10","10.82","14.98","-4.16","-5.84","10","10.29"
"","SJE","2022","10","133","137","16","23","-7","13.25","19.32","-6.06","-0.94","9","10.36"
"","SKC","2022","11","122","120","7","16","-9","10.03","14.81","-4.78","-4.22","9","11.12"
"","SEA","2022","8","88","133","8","13","-5","9.35","15.08","-5.73","0.73","7","7.16"
"","VAN","2022","9","103","122","7","17","-10","10.63","13.79","-3.16","-6.84","7","10.11"
